,Date/Time,Time Interval (Seconds),0A0 A,0A1 A
0,2018-04-13 13:39:52:957946,0.0002,0.6500198370311595,-1299.5937376018555
1,2018-04-13 13:39:53:958772,1.0011,0.6500198370311595,-1274.6015503402814
2,2018-04-13 13:39:54:958775,2.0011,0.6375194555497911,-1299.5937376018555
3,2018-04-13 13:39:55:958772,3.0011,0.6500198370311595,-1299.5937376018555
4,2018-04-13 13:39:56:958771,4.0011,0.6500198370311595,-1274.6015503402814
