Date/Time,Time Interval (Seconds),0A0 mm,0A1 mm,0A2 mBar,0A3 V
2018-04-23 15:40:02:507345,28.8004,29.579027680288096,-7.359599597155675,-124.53199865718558,0.3938870204779199
2018-04-23 15:40:03:107334,29.4004,29.54152653584399,-7.359599597155675,-124.53199865718558,0.39438703573717465
2018-04-23 15:40:03:707334,30.0004,29.579027680288096,-7.359599597155675,-124.53199865718558,0.39438703573717465
2018-04-23 15:40:04:307340,30.6004,29.579027680288096,-7.359599597155675,-124.53199865718558,0.39438703573717465
2018-04-23 15:40:04:907338,31.2004,29.579027680288096,-7.359599597155675,-124.53199865718558,0.39438703573717465
2018-04-23 15:40:05:507358,31.8004,29.579027680288096,-2.334446241645558,-107.78148747215187,0.3945120395519883
2018-04-23 15:40:06:107337,32.4004,29.588402966399123,-0.009375286111026337,-100.03125095370342,0.39476204718161567
2018-04-23 15:40:06:707336,33.0004,29.607153538621173,-0.009375286111026337,-100.03125095370342,0.39438703573717465
2018-04-23 15:40:07:307341,33.6004,29.579027680288096,-0.009375286111026337,-100.03125095370342,0.39488705099642935
2018-04-23 15:40:07:907350,34.2005,29.6165288247322,-0.009375286111026337,-100.03125095370342,0.39438703573717465
2018-04-23 15:40:08:507335,34.8004,29.579027680288096,-0.009375286111026337,-100.03125095370342,0.3938870204779199
2018-04-23 15:40:09:107358,35.4005,29.54152653584399,-0.009375286111026337,-100.03125095370342,0.39476204718161567
2018-04-23 15:40:09:707348,36.0005,29.607153538621173,-0.009375286111026337,-100.03125095370342,0.3942620319223609
2018-04-23 15:40:10:307349,36.6005,29.56965239417707,0.0,-100.0,0.3940120242927336
2018-04-23 15:40:10:907348,37.2005,29.550901821955016,-0.009375286111026337,-100.03125095370342,0.394637043366802
2018-04-23 15:40:11:507355,37.8005,29.597778252510146,-0.009375286111026337,-100.03125095370342,0.3945120395519883
2018-04-23 15:40:12:107354,38.4005,29.588402966399123,-0.009375286111026337,-100.03125095370342,0.39438703573717465
2018-04-23 15:40:12:707353,39.0005,29.579027680288096,-0.009375286111026337,-100.03125095370342,0.39476204718161567
2018-04-23 15:40:13:307371,39.6005,29.607153538621173,-0.009375286111026337,-100.03125095370342,0.394637043366802
2018-04-23 15:40:13:907342,40.2004,29.597778252510146,-0.009375286111026337,-100.03125095370342,0.3945120395519883
2018-04-23 15:40:14:507343,40.8004,29.588402966399123,-0.009375286111026337,-100.03125095370342,0.3945120395519883
2018-04-23 15:40:15:107340,41.4004,29.588402966399123,-0.009375286111026337,-100.03125095370342,0.39438703573717465
2018-04-23 15:40:15:707338,42.0004,29.579027680288096,-0.009375286111026337,-100.03125095370342,0.3942620319223609
2018-04-23 15:40:16:307337,42.6004,29.56965239417707,-0.009375286111026337,-100.03125095370342,0.3942620319223609
2018-04-23 15:40:16:907336,43.2004,29.56965239417707,-0.009375286111026337,-100.03125095370342,0.3942620319223609
2018-04-23 15:40:17:507339,43.8004,29.56965239417707,-0.009375286111026337,-100.03125095370342,0.39413702810754725
2018-04-23 15:40:18:107338,44.4004,29.560277108066042,-0.009375286111026337,-100.03125095370342,0.39438703573717465
2018-04-23 15:40:18:707347,45.0004,29.579027680288096,-0.009375286111026337,-100.03125095370342,0.39438703573717465
2018-04-23 15:40:19:307357,45.6005,29.579027680288096,-0.009375286111026337,-100.03125095370342,0.39413702810754725
2018-04-23 15:40:19:907367,46.2005,29.560277108066042,-0.009375286111026337,-100.03125095370342,0.394637043366802
2018-04-23 15:40:20:507370,46.8005,29.597778252510146,-0.009375286111026337,-100.03125095370342,0.3945120395519883
2018-04-23 15:40:21:107439,47.4005,29.588402966399123,-0.009375286111026337,-100.03125095370342,0.394637043366802
2018-04-23 15:40:21:707341,48.0004,29.597778252510146,-0.009375286111026337,-100.03125095370342,0.3942620319223609
2018-04-23 15:40:22:307343,48.6004,29.56965239417707,-0.009375286111026337,-100.03125095370342,0.39438703573717465
2018-04-23 15:40:22:907359,49.2005,29.579027680288096,-0.009375286111026337,-100.03125095370342,0.39438703573717465
2018-04-23 15:40:23:507367,49.8005,29.579027680288096,-0.009375286111026337,-100.03125095370342,0.3942620319223609
2018-04-23 15:40:24:107362,50.4005,29.56965239417707,-0.009375286111026337,-100.03125095370342,0.39413702810754725
2018-04-23 15:40:24:707361,51.0005,29.560277108066042,-0.009375286111026337,-100.03125095370342,0.39413702810754725
2018-04-23 15:40:25:307353,51.6005,29.560277108066042,-0.009375286111026337,-100.03125095370342,0.3942620319223609
2018-04-23 15:40:25:907348,52.2004,29.56965239417707,-0.009375286111026337,-100.03125095370342,0.3945120395519883
2018-04-23 15:40:26:507344,52.8004,29.588402966399123,-0.009375286111026337,-100.03125095370342,0.3942620319223609
2018-04-23 15:40:27:107347,53.4004,29.56965239417707,-0.009375286111026337,-100.03125095370342,0.3945120395519883
2018-04-23 15:40:27:707365,54.0005,29.588402966399123,-0.009375286111026337,-100.03125095370342,0.39438703573717465
2018-04-23 15:40:28:307359,54.6005,29.579027680288096,-0.009375286111026337,-100.03125095370342,0.3942620319223609
2018-04-23 15:40:28:907359,55.2004,29.56965239417707,-0.009375286111026337,-100.03125095370342,0.3945120395519883
2018-04-23 15:40:29:507359,55.8005,29.588402966399123,-0.009375286111026337,-100.03125095370342,0.39413702810754725
