Date/Time,A/D Unit,A0 (mV),A1 (mV),A2 (mV),A3 (mV)
2018-03-07 11:33:38,0,0.0,3280.4751121555223,692.2711264381848,695.7712332529679
2018-03-07 11:33:40,1,0.0,3280.600115970336,697.8962981048005,775.1486556596576
2018-03-07 11:33:43,2,-0.500015259254738,3292.225470748009,693.7711722159489,784.898953215125
2018-03-07 11:33:45,3,-1.1250343333231605,3290.4754173406172,691.77111117893,778.2737510299997
2018-03-07 11:33:48,0,0.0,3280.600115970336,692.1461226233711,815.399884029664
2018-03-07 11:33:50,1,0.1250038148136845,3280.7251197851497,697.8962981048005,720.1469771416364
2018-03-07 11:33:53,2,-0.500015259254738,3291.9754631183814,694.0211798455764,599.8933072908719
2018-03-07 11:33:55,3,-1.1250343333231605,3290.7254249702446,691.6461073641163,845.2757957701346
2018-03-07 11:33:58,0,0.1250038148136845,3280.4751121555223,692.0211188085574,682.27082125309
2018-03-07 11:34:00,1,0.0,3280.8501235999634,697.7712942899868,839.7756279183325
2018-03-07 11:34:03,2,-0.500015259254738,3292.225470748009,694.2711874752038,608.5185705130161
2018-03-07 11:34:05,3,-1.1250343333231605,3290.600421155431,691.396099734489,750.8979155858028
2018-03-07 11:34:08,0,0.1250038148136845,3280.600115970336,691.8961149937437,556.3919797357097
2018-03-07 11:34:10,1,0.0,3280.3501083407086,697.7712942899868,945.1538438062685
2018-03-07 11:34:13,2,-0.3750114444410535,3292.100466933195,694.2711874752038,692.5211340678121
2018-03-07 11:34:15,3,-1.1250343333231605,3290.600421155431,691.6461073641163,941.5287331766716
2018-03-07 11:34:18,0,-0.1250038148136845,3280.1001007110813,691.8961149937437,729.8972746971037
2018-03-07 11:34:20,1,0.0,3280.600115970336,697.7712942899868,577.0176091799676
2018-03-07 11:34:23,2,-0.250007629627369,3292.475478377636,694.1461836603901,730.6472975859859
2018-03-07 11:34:25,3,-1.1250343333231605,3290.8504287850583,691.396099734489,587.0179143650624
2018-03-07 11:34:28,0,0.0,3280.7251197851497,692.0211188085574,563.6422009949034
2018-03-07 11:34:30,1,0.1250038148136845,3280.975127414777,697.5212866603595,365.3861507003998
2018-03-07 11:34:33,2,-0.3750114444410535,3292.3504745628225,693.7711722159489,605.1434675130466
2018-03-07 11:34:35,3,-1.250038148136845,3290.8504287850583,691.5211035493027,843.7757499923704
2018-03-07 11:34:38,0,0.1250038148136845,3280.600115970336,691.77111117893,755.5230567339091
2018-03-07 11:34:40,1,0.1250038148136845,3280.7251197851497,697.6462904751731,940.0286873989074
2018-03-07 11:34:43,2,-0.500015259254738,3291.9754631183814,693.6461684011352,550.7668080690939
2018-03-07 11:34:45,3,-1.250038148136845,3290.8504287850583,691.2710959196753,394.01202429273354
2018-03-07 11:34:48,0,0.0,3280.4751121555223,691.6461073641163,889.5271462141789
2018-03-07 11:34:50,1,0.1250038148136845,3280.4751121555223,697.3962828455458,513.7656788842432
2018-03-07 11:34:53,2,-0.3750114444410535,3292.225470748009,693.5211645863216,897.777397991882
2018-03-07 11:34:56,3,-1.000030518509476,3290.600421155431,691.1460921048616,720.6469924008911
2018-03-07 11:34:58,0,0.0,3280.3501083407086,691.8961149937437,566.2672811059908
2018-03-07 11:35:01,1,0.0,3280.600115970336,697.3962828455458,590.5180211798456
2018-03-07 11:35:03,2,-0.6250190740684225,3292.60048219245,693.6461684011352,707.3965880306406
2018-03-07 11:35:06,3,-1.3750419629505295,3290.975432599872,691.2710959196753,568.142338328196
2018-03-07 11:35:08,0,0.0,3280.600115970336,691.77111117893,734.7724234748375
2018-03-07 11:35:11,1,0.1250038148136845,3280.975127414777,697.2712790307321,717.2718894009216
2018-03-07 11:35:13,2,-0.500015259254738,3292.225470748009,693.5211645863216,372.3863643299661
2018-03-07 11:35:16,3,-1.1250343333231605,3290.7254249702446,691.1460921048616,573.2674947355571
2018-03-07 11:35:18,0,0.0,3280.8501235999634,691.6461073641163,757.8981292153691
2018-03-07 11:35:21,1,0.0,3280.975127414777,697.3962828455458,714.2717978453933
2018-03-07 11:35:24,2,-0.3750114444410535,3292.60048219245,693.5211645863216,735.0224311044649
2018-03-07 11:35:26,3,-1.1250343333231605,3290.975432599872,690.8960844752343,571.6424451429792
2018-03-07 11:35:29,0,0.1250038148136845,3280.3501083407086,691.5211035493027,572.6424756614887
2018-03-07 11:35:31,1,0.1250038148136845,3280.7251197851497,697.1462752159184,660.1451460310678
2018-03-07 11:35:34,2,-0.3750114444410535,3292.3504745628225,693.5211645863216,733.0223700674459
2018-03-07 11:35:36,3,-1.000030518509476,3290.7254249702446,690.8960844752343,342.5104525894955
2018-03-07 11:35:39,0,0.0,3280.7251197851497,691.5211035493027,572.142460402234
2018-03-07 11:35:41,1,0.1250038148136845,3280.975127414777,697.3962828455458,713.3967711416974
2018-03-07 11:35:44,2,-0.250007629627369,3292.3504745628225,693.2711569566942,724.5221106601153
2018-03-07 11:35:46,3,-1.1250343333231605,3290.600421155431,690.8960844752343,357.2609027375103
2018-03-07 11:35:49,0,0.0,3280.4751121555223,691.5211035493027,741.0226142155217
2018-03-07 11:35:51,1,0.1250038148136845,3280.7251197851497,697.2712790307321,546.6416821802424
2018-03-07 11:35:54,2,-0.3750114444410535,3292.225470748009,693.2711569566942,735.2724387340922
2018-03-07 11:35:56,3,-0.8750267036957915,3290.4754173406172,691.0210882900479,603.018402661214
2018-03-07 11:35:59,0,0.0,3280.4751121555223,691.5211035493027,596.5182042909024
2018-03-07 11:36:01,1,0.0,3280.8501235999634,697.2712790307321,535.3913388470107
